S Ladda,0,12,1
VR Aaron,2,142,1
KJ Abbott,2,96,1
AD Nath,0,0,1
MA Agarwal,0,0,1
HM Amla,0,0,1
Ankit Sharma,1,66,1
Anureet Singh,0,36,1
S Aravind,11,175,1
A Ashish Reddy,1,23,1
M Ashwin,7,171,1
R Ashwin,10,264,1
GJ Bailey,0,0,1
F Behardien,0,0,1
R Bhatia,6,204,1
SW Billings,0,0,1
STR Binny,1,102,1
Bipul Sharma,3,84,1
SM Boland,2,42,1
TA Boult,1,24,1
CR Brathwaite,7,139,1
DJ Bravo,17,336,1
JJ Bumrah,15,312,1
JC Buttler,0,0,1
KC Cariappa,3,102,1
YS Chahal,21,295,1
DL Chahar,0,30,1
UBT Chand,0,0,1
PP Chawla,11,212,1
NM Coulter-Nile,3,90,1
BCJ Cutting,5,67,1
Q de Kock,0,0,1
AB de Villiers,0,0,1
R Dhawan,2,42,1
S Dhawan,0,0,1
MS Dhoni,0,0,1
AB Dinda,11,183,1
JP Duminy,2,42,1
F du Plessis,0,0,1
ER Dwivedi,0,0,1
JP Faulkner,2,102,1
AJ Finch,0,0,1
G Gambhir,0,0,1
CH Gayle,2,60,1
S Gopal,0,18,1
MJ Guptill,0,0,1
Gurkeerat Singh,2,24,1
PSP Handscomb,0,0,1
Harbhajan Singh,9,294,1
JW Hastings,2,40,1
TM Head,0,0,1
MC Henriques,12,312,1
GB Hogg,4,96,1
JO Holder,2,78,1
DJ Hooda,3,78,1
Imran Tahir,5,96,1
Iqbal Abdulla,6,150,1
Ishan Kishan,0,0,1
SS Iyer,0,0,1
RA Jadeja,8,241,1
KM Jadhav,0,0,1
SB Jakati,2,120,1
MG Johnson,2,66,1
CJ Jordan,11,168,1
KD Karthik,0,0,1
S Kaushik,6,138,1
SN Khan,0,0,1
Z Khan,10,262,1
UT Khawaja,0,0,1
V Kohli,0,6,1
Kuldeep Yadav,6,72,1
DS Kulkarni,18,294,1
B Kumar,23,396,1
P Kumar,9,309,1
CA Lynn,0,0,1
MJ McClenaghan,17,320,1
BB McCullum,0,0,1
Mandeep Singh,0,0,1
MR Marsh,4,54,1
SE Marsh,0,0,1
GJ Maxwell,0,54,1
DA Miller,0,0,1
AF Milne,1,24,1
A Mishra,13,276,1
Mohammed Shami,5,151,1
EJG Morgan,0,0,1
JA Morkel,2,30,1
M Morkel,10,213,1
CH Morris,13,264,1
C Munro,0,12,1
Mustafizur Rahman,17,366,1
S Nadeem,2,90,1
NS Naik,0,0,1
KK Nair,0,0,1
SP Narine,11,256,1
P Negi,1,54,1
A Nehra,9,156,1
NV Ojha,0,0,1
MK Pandey,0,0,1
HH Pandya,3,100,1
KH Pandya,6,187,1
RR Pant,0,0,1
Parvez Rasool,1,84,1
AR Patel,13,287,1
HV Patel,1,84,1
PA Patel,0,0,1
IK Pathan,0,48,1
YK Pathan,1,36,1
NLTC Perera,9,199,1
KP Pietersen,0,0,1
KA Pollard,0,36,1
AM Rahane,0,0,1
KL Rahul,0,0,1
SK Raina,0,60,1
AS Rajpoot,3,66,1
N Rana,0,6,1
AT Rayudu,0,0,1
KW Richardson,7,84,1
AD Russell,15,219,1
Sachin Baby,2,10,1
WP Saha,0,0,1
P Sahu,3,105,1
SV Samson,0,0,1
Sandeep Sharma,15,300,1
PJ Sangwan,0,24,1
R Sathish,1,36,1
T Shamsi,3,96,1
Shakib Al Hasan,5,186,1
I Sharma,3,90,1
KV Sharma,0,98,1
MM Sharma,13,291,1
RG Sharma,0,0,1
LMP Simmons,0,0,1
RP Singh,3,72,1
DR Smith,8,108,1
SPD Smith,0,0,1
TG Southee,9,258,1
BB Sran,14,297,1
DW Steyn,0,12,1
MP Stoinis,8,138,1
J Suchith,0,12,1
Swapnil Singh,0,18,1
PV Tambe,5,96,1
AP Tare,0,0,1
SS Tiwary,0,0,1
JD Unadkat,0,18,1
RV Uthappa,0,0,1
M Vijay,0,6,1
R Vinay Kumar,3,54,1
M Vohra,0,0,1
DA Warner,0,0,1
SR Watson,20,339,1
D Wiese,0,24,1
KS Williamson,0,6,1
J Yadav,2,102,1
SA Yadav,0,0,1
UT Yadav,10,156,1
Yuvraj Singh,0,37,1
A Zampa,12,102,1
