TS Mills,0
A Choudhary,1
YS Chahal,2
S Aravind,3
SR Watson,4
TM Head,5
STR Binny,6
A Nehra,7
B Kumar,8
BCJ Cutting,9
Rashid Khan,10
DJ Hooda,11
MC Henriques,12
Bipul Sharma,13
AB Dinda,14
DL Chahar,15
BA Stokes,16
Imran Tahir,17
A Zampa,18
R Bhatia,19
TG Southee,20
HH Pandya,21
MJ McClenaghan,22
JJ Bumrah,23
KH Pandya,24
KA Pollard,25
TA Boult,26
PP Chawla,27
SP Narine,28
CR Woakes,29
Kuldeep Yadav,30
YK Pathan,31
P Kumar,32
DS Kulkarni,33
MS Gony,34
S Kaushik,35
DR Smith,36
SB Jakati,37
Sandeep Sharma,38
MM Sharma,39
AR Patel,40
T Natarajan,41
MP Stoinis,42
Swapnil Singh,43
DT Christian,44
RD Chahar,45
Z Khan,46
CH Morris,47
PJ Cummins,48
S Nadeem,49
A Mishra,50
CR Brathwaite,51
B Stanlake,52
Iqbal Abdulla,53
P Negi,54
SK Raina,55
Tejas Baroka,56
Basil Thampi,57
SL Malinga,58
Harbhajan Singh,59
AS Rajpoot,60
VR Aaron,61
CJ Anderson,62
Mustafizur Rahman,63
UT Yadav,64
C de Grandhomme,65
I Sharma,66
GJ Maxwell,67
S Badree,68
AJ Tye,69
RA Jadeja,70
Ankit Sharma,71
LH Ferguson,72
SN Thakur,73
KC Cariappa,74
MM Patel,75
AF Milne,76
JD Unadkat,77
NM Coulter-Nile,78
Mohammed Shami,79
AD Mathews,80
BB Sran,81
S Kaul,82
Mohammad Nabi,83
J Yadav,84
Mohammed Siraj,85
Yuvraj Singh,86
JP Faulkner,87
Shakib Al Hasan,88
K Rabada,89
MG Johnson,90
Washington Sundar,91
SS Agarwal,92
NB Singh,93
KV Sharma,94
RA Tripathi,95
Ankit Soni,96
Anureet Singh,97
IK Pathan,98
PJ Sangwan,99
MN Samuels,100
MJ Henry,101
R Tewatia,102
R Vinay Kumar,103
Avesh Khan,104
HV Patel,105
CJ Jordan,106
